,0
0,1570362.1955561151
1,1617221.7767714115
2,1607976.402000841
3,1612477.0657947625
4,1617754.5012416232
5,1608253.3383865373
6,1612425.272212037
7,1616491.6055214948
8,1615710.4120504397
9,1585953.5415718188
10,1560143.6998370255
11,1545711.8876836658
12,1528934.0443987332
13,1513773.944559102
14,1515971.3727447721
15,1524035.2471603754
16,1514744.246079379
17,1508446.3387643402
18,1530958.6483620277
19,1544133.972961194
20,1558068.733241532
21,1569300.9145735549
22,1561095.3052140817
23,1562837.4076547283
24,1564753.3594331604
25,1580100.0158844693
26,1587719.377134031
27,1574988.9291843043
28,1563924.6538840623
29,1555509.4039294457
30,1567162.10182623
31,1567579.4886850084
32,1551237.2908109378
33,1550895.0158950763
34,1551979.1522316628
35,1525163.0430589935
36,1507394.2795137973
37,1546215.2297082297
38,1525320.7264526924
39,1500707.2273738307
40,1516591.6688058402
41,1508989.4209697098
42,1499008.9530650636
43,1450375.2741169774
44,1431396.442487247
45,1448617.389282191
46,1442527.3008035466
47,1444937.2177979841
48,1444143.6644287305
49,1468504.610689383
50,1493782.7794373727
51,1500798.4812781354
52,1496852.620153987
53,1491597.7472717275
54,1503841.8296184281
55,1492114.863322706
56,1506632.189267417
57,1517430.5214177538
58,1518255.1441748939
59,1535337.202636936
60,1538666.0771111452
61,1518984.1411112149
62,1533211.8234193102
